City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
178,Diamantino,BR,79.84,broken clouds,-14.41,-56.45,Hotel Delta
191,Raga,SS,69.64,overcast clouds,8.46,25.68,
193,Toamasina,MG,75.2,scattered clouds,-18.17,49.38,Hotel H1
195,Tias,ES,66.2,clear sky,28.96,-13.64,Hotel Beatriz Playa & SPA
197,Lagunas,PE,72.72,overcast clouds,-5.23,-75.68,Hospedaje Eco
199,Airai,TL,79.81,light rain,-8.93,125.41,Juvinal Martin
200,Muroto,JP,69.8,few clouds,33.28,134.15,Oota Ryokan
201,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
205,East London,ZA,68.0,scattered clouds,-33.02,27.91,Tu Casa
208,Makakilo City,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
209,Igarapava,BR,69.57,broken clouds,-20.04,-47.75,Ângelo Palace Hotel Igarapava
214,Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
225,Ermioni,GR,65.28,clear sky,37.39,23.24,Zoe Pension
229,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
230,Harper,LR,77.81,overcast clouds,4.38,-7.72,Screensaver
232,Port Macquarie,AU,82.0,clear sky,-31.43,152.92,Rydges Port Macquarie
233,Sur,OM,81.97,clear sky,22.57,59.53,Sur Plaza Hotel
235,Nicoya,CR,73.94,broken clouds,10.15,-85.45,Guayacan Real
237,Pandamatenga,BW,70.77,clear sky,-18.53,25.63,Wildtrack Safaris Eco Lodge
239,Orapa,BW,69.91,clear sky,-21.28,25.37,
244,Taoudenni,ML,81.16,clear sky,22.68,-3.98,
249,Kushalgarh,IN,84.09,clear sky,23.2,74.45,Navkar Guest House
251,San Matias,BO,78.6,overcast clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
252,Serra Negra,BR,66.2,clear sky,-22.61,-46.7,Shelton Hotel
256,Tombouctou,ML,84.45,clear sky,20.0,-3.0,
258,Kanniyakumari,IN,83.77,scattered clouds,8.08,77.57,Sparsa
259,Umm Lajj,SA,83.95,clear sky,25.02,37.27,Moon light Furnished Units
260,Ixtapa,MX,82.4,light rain,20.7,-105.2,Container Inn Puerto Vallarta
261,Batemans Bay,AU,81.0,light rain,-35.72,150.18,Batemans Bay Marina Resort
262,Gizo,SB,84.96,overcast clouds,-8.1,156.84,Imagination Island
264,Champerico,GT,68.0,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
266,Envira,BR,70.74,overcast clouds,-7.3,-70.22,
268,Sao Filipe,CV,79.3,clear sky,14.9,-24.5,Tortuga B&B
270,Bodden Town,KY,81.0,scattered clouds,19.28,-81.25,Will T Place
271,Adrar,MR,80.67,scattered clouds,20.5,-10.07,
272,Humberto De Campos,BR,78.51,broken clouds,-2.6,-43.46,Pousada do Cabeça
273,Sakaiminato,JP,66.2,broken clouds,35.55,133.23,味処・民宿 まつや
274,Tessalit,ML,82.18,clear sky,20.2,1.01,
276,Diapaga,BF,76.8,clear sky,12.07,1.79,
282,Garowe,SO,79.48,overcast clouds,8.41,48.48,Curubo Hotel
285,Qandala,SO,83.14,scattered clouds,11.47,49.87,
286,Jutai,BR,72.19,broken clouds,-5.18,-68.9,
287,Mabaruma,GY,78.87,broken clouds,8.2,-59.78,
290,Sabang,ID,82.94,overcast clouds,5.89,95.32,Hotel Citra
291,Riohacha,CO,79.54,overcast clouds,11.54,-72.91,Hotel Taroa
295,Morgan City,US,75.2,scattered clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
296,Tocoa,HN,75.87,overcast clouds,15.68,-86.0,GRAN HOTEL SANABRIA
299,Qui Nhon,VN,80.53,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
300,Elk City,US,75.2,broken clouds,35.41,-99.4,Hampton Inn & Suites Elk City
302,Benalla,AU,69.01,heavy intensity shower rain,-36.55,145.98,Rose City Motor Inn
304,Mulanje,MW,68.5,clear sky,-16.03,35.5,Mulanje Motel
308,Caravelas,BR,72.25,light rain,-17.71,-39.25,Pousada dos Navegantes
309,Wembley,AU,77.0,clear sky,-31.93,115.8,Quest on Rheola
310,Pitimbu,BR,75.2,broken clouds,-7.47,-34.81,Reserva do Abiaí
311,Telimele,GN,70.02,clear sky,10.92,-13.33,
312,Saint-Leu,RE,79.0,clear sky,-21.15,55.28,La Caz Oceane
313,Sawtell,AU,77.0,few clouds,-30.38,153.1,Boambee Waters Caravan Park
314,Niono,ML,83.08,broken clouds,14.25,-5.99,Hôtel Campement
317,Trinidad,BO,80.85,light rain,-14.83,-64.9,Hotel Piesta
320,Vao,NC,74.88,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
322,Colombo,LK,84.2,few clouds,6.93,79.85,Galle Face Hotel
323,Mamallapuram,IN,84.2,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
329,Panguna,PG,79.29,light rain,-6.32,155.48,
331,Riberalta,BO,76.57,light rain,-10.98,-66.1,Hotel Colonial
333,Afogados Da Ingazeira,BR,68.76,few clouds,-7.75,-37.64,Hotel Brotas
334,Maunabo,PR,82.0,overcast clouds,18.01,-65.9,Maunacaribe
335,Bandarbeyla,SO,80.15,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
337,Ca Mau,VN,83.73,moderate rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
339,Auki,SB,84.11,light rain,-8.77,160.7,Auki Motel
341,Samarai,PG,82.31,scattered clouds,-10.62,150.67,Nuli Sapi
342,Ginda,IN,73.4,clear sky,30.69,78.49,Bal uma sankar hotel and restaurant
343,Isangel,VU,77.0,moderate rain,-19.55,169.27,Volcano Sea View Tree House
346,Sao Gabriel Da Cachoeira,BR,73.94,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
347,Mildura,AU,75.2,light rain,-34.2,142.15,Mercure Hotel Mildura
348,Nosy Varika,MG,73.54,few clouds,-20.58,48.53,Hotel Volazara
350,Grand Gaube,MU,77.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
357,Bengkulu,ID,82.87,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
358,Tautira,PF,78.8,shower rain,-17.73,-149.15,Pension Oaoa
362,Katsuura,JP,71.6,light rain,35.13,140.3,Katsuura Hotel Mikazuki
366,Biltine,TD,77.97,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
369,Quatre Cocos,MU,77.0,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
372,Ewa Beach,US,80.6,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
376,Abu Dhabi,AE,84.2,clear sky,24.47,54.37,Beach Rotana
378,Russell,US,69.8,mist,32.35,-85.2,Macs
379,Kananga,CD,69.71,overcast clouds,-5.9,22.42,Guest House Wood Land
381,West Bay,KY,81.0,scattered clouds,19.37,-81.42,Calypso Cove
382,Ouro Preto Do Oeste,BR,75.76,light rain,-10.75,-62.22,Graúna Resort Hotel
383,Acarau,BR,78.87,overcast clouds,-2.89,-40.12,castelo pizzaria
388,Ribas Do Rio Pardo,BR,76.6,clear sky,-20.44,-53.76,Ataíde Martins
389,Lubbock,US,71.6,clear sky,33.6,-101.83,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
392,Hongjiang,CN,73.99,clear sky,27.11,110.0,洪江大酒店
395,Natitingou,BJ,71.6,clear sky,10.3,1.38,Auberge Centrale
398,Jizan,SA,77.0,few clouds,17.33,42.67,شهدان. ابوالحجر
405,Inirida,CO,75.85,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
407,Salalah,OM,73.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
410,Rock Sound,BS,80.33,few clouds,24.9,-76.2,Rock Sound Club
412,Pandaria,IN,81.86,clear sky,22.23,81.42,"SC,ST Hostel,Samrupara"
414,Victoria Point,AU,81.0,scattered clouds,-27.58,153.3,Bay Retreat Motel
